Model,Latency [s],GPU Memory (allocated)[MB],GPU Memory (reserved) [MB],CPU Memory (rss) [MB],Accuracy,Params [B]
meta_llama_Llama_3_2_3B_Instruct::cp::rank1::horizon2::hd4096::bs::1,0.141 ± 0.000,52767.173 ± 0.000,52784.000 ± 0.000,1334.188 ± 0.092,0.000 ± 0.000,6.903
meta_llama_Llama_3_2_3B_Instruct::cp::rank1::horizon2::hd8192::bs::1,0.146 ± 0.006,54523.423 ± 0.000,54540.000 ± 0.000,1335.169 ± 0.022,0.000 ± 0.000,7.068
meta_llama_Llama_3_2_3B_Instruct::cp::rank1::horizon3::hd4096::bs::1,0.145 ± 0.005,52895.066 ± 0.222,52912.800 ± 1.932,1343.734 ± 0.088,0.000 ± 0.000,6.92
meta_llama_Llama_3_2_3B_Instruct::cp::rank1::horizon3::hd8192::bs::1,0.149 ± 0.007,54779.375 ± 0.233,54797.600 ± 0.843,1344.024 ± 0.002,0.000 ± 0.000,7.101
meta_llama_Llama_3_2_3B_Instruct::cp::rank1::horizon4::hd4096::bs::1,0.149 ± 0.011,53022.929 ± 0.000,53040.000 ± 0.000,1344.719 ± 0.000,0.000 ± 0.000,6.937
meta_llama_Llama_3_2_3B_Instruct::cp::rank1::horizon4::hd8192::bs::1,0.154 ± 0.011,55035.179 ± 0.000,55052.000 ± 0.000,1344.418 ± 0.000,0.000 ± 0.000,7.135
meta_llama_Llama_3_2_3B_Instruct::cp::rank2::horizon2::hd4096::bs::1,0.149 ± 0.012,53024.155 ± 0.000,53424.000 ± 0.000,1346.402 ± 0.000,0.000 ± 0.000,6.937
meta_llama_Llama_3_2_3B_Instruct::cp::rank2::horizon2::hd8192::bs::1,0.152 ± 0.010,55036.655 ± 0.000,55072.000 ± 0.000,1346.609 ± 0.000,0.000 ± 0.000,7.135
meta_llama_Llama_3_2_3B_Instruct::cp::rank2::horizon3::hd4096::bs::1,0.154 ± 0.012,53280.034 ± 0.388,53312.400 ± 7.589,1346.484 ± 0.002,0.000 ± 0.000,6.97
meta_llama_Llama_3_2_3B_Instruct::cp::rank2::horizon3::hd8192::bs::1,0.157 ± 0.013,55548.337 ± 0.572,55576.800 ± 9.295,1346.558 ± 0.004,0.000 ± 0.000,7.202
meta_llama_Llama_3_2_3B_Instruct::cp::rank2::horizon4::hd4096::bs::1,0.149 ± 0.005,53546.584 ± 0.000,54066.000 ± 0.000,1350.822 ± 0.108,0.000 ± 0.000,7.004
meta_llama_Llama_3_2_3B_Instruct::cp::rank2::horizon4::hd8192::bs::1,0.152 ± 0.004,56083.084 ± 0.000,57102.000 ± 0.000,1351.005 ± 0.003,0.000 ± 0.000,7.269
meta_llama_Llama_3_2_3B_Instruct::cp::rank4::horizon2::hd4096::bs::1,0.152 ± 0.014,53546.740 ± 0.000,54680.000 ± 0.000,1353.680 ± 0.000,0.000 ± 0.000,7.004
meta_llama_Llama_3_2_3B_Instruct::cp::rank4::horizon2::hd8192::bs::1,0.153 ± 0.011,56083.365 ± 0.000,57120.000 ± 0.000,1353.406 ± 0.000,0.000 ± 0.000,7.269
meta_llama_Llama_3_2_3B_Instruct::cp::rank4::horizon3::hd4096::bs::1,0.152 ± 0.012,54314.845 ± 0.008,54853.400 ± 0.966,1353.379 ± 0.000,0.000 ± 0.000,7.071
meta_llama_Llama_3_2_3B_Instruct::cp::rank4::horizon3::hd8192::bs::1,0.152 ± 0.003,57619.593 ± 0.008,58657.200 ± 1.033,1353.504 ± 0.000,0.000 ± 0.000,7.403
meta_llama_Llama_3_2_3B_Instruct::cp::rank4::horizon4::hd4096::bs::1,0.152 ± 0.008,55083.084 ± 0.000,55620.000 ± 0.000,1353.116 ± 0.003,0.000 ± 0.000,7.138
meta_llama_Llama_3_2_3B_Instruct::cp::rank4::horizon4::hd8192::bs::1,0.158 ± 0.011,59156.084 ± 0.000,60194.000 ± 0.000,1358.316 ± 0.018,0.000 ± 0.000,7.538
meta_llama_Llama_3_2_3B_Instruct::cp::rank8::horizon2::hd4096::bs::1,0.151 ± 0.009,55083.365 ± 0.000,55868.000 ± 0.000,1360.742 ± 0.000,0.000 ± 0.000,7.138
meta_llama_Llama_3_2_3B_Instruct::cp::rank8::horizon2::hd8192::bs::1,0.157 ± 0.010,59157.365 ± 0.000,60212.000 ± 0.000,1360.332 ± 0.000,0.000 ± 0.000,7.538
meta_llama_Llama_3_2_3B_Instruct::cp::rank8::horizon3::hd4096::bs::1,0.154 ± 0.011,56619.593 ± 0.008,57168.800 ± 9.295,1359.836 ± 0.000,0.000 ± 0.000,7.272
meta_llama_Llama_3_2_3B_Instruct::cp::rank8::horizon3::hd8192::bs::1,0.165 ± 0.011,62229.543 ± 0.395,63277.600 ± 8.262,1360.801 ± 0.006,0.000 ± 0.000,7.806
meta_llama_Llama_3_2_3B_Instruct::cp::rank8::horizon4::hd4096::bs::1,0.159 ± 0.011,58156.084 ± 0.000,58696.000 ± 0.000,1360.248 ± 0.005,0.000 ± 0.000,7.407
meta_llama_Llama_3_2_3B_Instruct::cp::rank8::horizon4::hd8192::bs::1,0.168 ± 0.011,65302.084 ± 0.000,66342.000 ± 0.000,1360.719 ± 0.000,0.000 ± 0.000,8.075
meta_llama_Llama_3_2_3B_Instruct::cp::rank16::horizon2::hd4096::bs::1,0.156 ± 0.012,58157.365 ± 0.000,59708.000 ± 0.000,1361.863 ± 0.000,0.000 ± 0.000,7.407
meta_llama_Llama_3_2_3B_Instruct::cp::rank16::horizon2::hd8192::bs::1,0.172 ± 0.012,65303.115 ± 0.000,66372.000 ± 0.000,1362.027 ± 0.000,0.000 ± 0.000,8.075
meta_llama_Llama_3_2_3B_Instruct::cp::rank16::horizon3::hd4096::bs::1,0.165 ± 0.013,61229.696 ± 0.323,61806.400 ± 11.806,1361.719 ± 0.000,0.000 ± 0.000,7.675
meta_llama_Llama_3_2_3B_Instruct::cp::rank16::horizon3::hd8192::bs::1,0.179 ± 0.004,71448.846 ± 0.007,72520.400 ± 11.806,1362.604 ± 0.002,0.000 ± 0.000,8.612
meta_llama_Llama_3_2_3B_Instruct::cp::rank16::horizon4::hd4096::bs::1,0.162 ± 0.000,64302.084 ± 0.000,64858.000 ± 0.000,1362.430 ± 0.000,0.000 ± 0.000,7.944
meta_llama_Llama_3_2_3B_Instruct::cp::rank16::horizon4::hd8192::bs::1,0.244 ± 0.023,77594.084 ± 0.000,78662.000 ± 0.000,1362.537 ± 0.002,0.000 ± 0.000,9.149